Site Name,Plot #,Crop,Treatment,Date Soil Sample Collected,NO3 Analysis,NO3,pH,Notes,SRadiation,Prec,WD,WS,AT,RH ,WC,ST,mRH,Lat,Lon
LP Mineral,23,Willow,Fertilizer,4/15/2121,4/16/2021,0.559,4.44,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",77.1,0,137,1.07,7.9,0.719,0.41,11.8,0.719,-79.97926995,39.53019909
LP Mineral,24,Willow,Control,4/15/2121,4/16/2021,0.523,3.34,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",77.1,0,137,1.07,7.9,0.719,0.41,11.8,0.719,-79.97866512,39.53005267
LP Mineral,1,Switchgrass,Control,7/29/2021,7/30/2021,1.257,4.28,"sandstone, coal small pebbles, limited roots and leaves",120.5,0.373,205,0.69,21.2,0.773,0.211,29.3,0.773,-79.9801942,39.53033164
LP Mineral,2,Switchgrass,BioChar + Fertilizer,7/29/2021,7/30/2021,0.8305,4.4,"sandstone, coal small pebbles, limited roots and leaves",120.5,0.373,205,0.69,21.2,0.773,0.211,29.3,0.773,-79.9787201,39.52983083
LP Mineral,3,Switchgrass,Fertilizer,7/29/2021,7/30/2021,0.559,4,"sandstone, coal small pebbles, limited roots and leaves",120.5,0.373,205,0.69,21.2,0.773,0.211,29.3,0.773,-79.97892847,39.52988399
LP Mineral,4,Willow,Control,7/29/2021,7/30/2021,1.0335,4.21,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",120.5,0.373,205,0.69,21.2,0.773,0.211,29.3,0.773,-79.97957341,39.53028905
LP Mineral,5,Willow,BioChar + Fertilizer,7/29/2021,7/30/2021,0.8305,4.09,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",120.5,0.373,205,0.69,21.2,0.773,0.211,29.3,0.773,-79.97949341,39.53042108
LP Mineral,6,Willow,Fertilizer,7/29/2021,7/30/2021,0.773,3.69,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",120.5,0.373,205,0.69,21.2,0.773,0.211,29.3,0.773,-79.97884567,39.52995378
LP Mineral,19,Switchgrass,Control,7/29/2021,7/30/2021,1.2445,4.29,"sandstone, coal small pebbles, limited roots and leaves",120.5,0.373,205,0.69,21.2,0.773,0.211,29.3,0.773,-79.97879993,39.52982951
LP Mineral,20,Switchgrass,Fertilizer,7/29/2021,7/30/2021,0.941,4.18,"sandstone, coal small pebbles, limited roots and leaves",120.5,0.373,205,0.69,21.2,0.773,0.211,29.3,0.773,-79.97951871,39.53021093
LP Mineral,21,Switchgrass,BioChar + Fertilizer,7/29/2021,7/30/2021,1.2995,4.33,"sandstone, coal small pebbles, limited roots and leaves",120.5,0.373,205,0.69,21.2,0.773,0.211,29.3,0.773,-79.97904857,39.53028427
LP Mineral,22,Willow,BioChar + Fertilizer,7/29/2021,7/30/2021,0.787,5.26,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",120.5,0.373,205,0.69,21.2,0.773,0.211,29.3,0.773,-79.97876275,39.52977576
LP Mineral,23,Willow,Fertilizer,7/29/2021,7/30/2021,0.478,4.44,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",120.5,0.373,205,0.69,21.2,0.773,0.211,29.3,0.773,-79.98005834,39.53046465
LP Mineral,24,Willow,Control,7/29/2021,7/30/2021,0.6325,3.34,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",120.5,0.373,205,0.69,21.2,0.773,0.211,29.3,0.773,-79.98003657,39.53037707
LP Mineral,1,Switchgrass,Control,10/26/2021,10/27/2021,0.682,4.28,"sandstone, coal small pebbles, limited roots and leaves",39.7,0.149,153,1.02,9.6,0.773,0.387,14,0.773,-79.97995763,39.53049705
LP Mineral,2,Switchgrass,BioChar + Fertilizer,10/26/2021,10/27/2021,0.564,4.4,"sandstone, coal small pebbles, limited roots and leaves",39.7,0.149,153,1.02,9.6,0.953,0.387,14,0.953,-79.97952648,39.53033223
LP Mineral,3,Switchgrass,Fertilizer,10/26/2021,10/27/2021,0.5275,4,"sandstone, coal small pebbles, limited roots and leaves",39.7,0.149,153,1.02,9.6,0.953,0.387,14,0.953,-79.97978782,39.53021525
LP Mineral,4,Willow,Control,10/26/2021,10/27/2021,0.522,4.21,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",39.7,0.149,153,1.02,9.6,0.953,0.387,14,0.953,-79.9798109,39.53041095
LP Mineral,5,Willow,BioChar + Fertilizer,10/26/2021,10/27/2021,0.548,4.09,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",39.7,0.149,153,1.02,9.6,0.953,0.387,14,0.953,-79.97893868,39.52981508
LP Mineral,6,Willow,Fertilizer,10/26/2021,10/27/2021,0.5385,3.69,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",39.7,0.149,153,1.02,9.6,0.953,0.387,14,0.953,-79.97900507,39.53011821
LP Mineral,19,Switchgrass,Control,10/26/2021,10/27/2021,0.562,4.29,"sandstone, coal small pebbles, limited roots and leaves",39.7,0.149,153,1.02,9.6,0.953,0.387,14,0.953,-79.97995282,39.53028866
LP Mineral,20,Switchgrass,Fertilizer,10/26/2021,10/27/2021,0.631,4.18,"sandstone, coal small pebbles, limited roots and leaves",39.7,0.149,153,1.02,9.6,0.953,0.387,14,0.953,-79.97923703,39.53000715
LP Mineral,21,Switchgrass,BioChar + Fertilizer,10/26/2021,10/27/2021,0.6365,4.33,"sandstone, coal small pebbles, limited roots and leaves",39.7,0.149,153,1.02,9.6,0.953,0.387,14,0.953,-79.97984189,39.53025733
LP Mineral,22,Willow,BioChar + Fertilizer,10/26/2021,10/27/2021,0.54,5.26,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",39.7,0.149,153,1.02,9.6,0.953,0.387,14,0.953,-79.97987148,39.53051155
LP Mineral,23,Willow,Fertilizer,10/26/2021,10/27/2021,0.5965,4.44,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",39.7,0.149,153,1.02,9.6,0.953,0.387,14,0.953,-79.97983132,39.53031135
LP Mineral,24,Willow,Control,10/26/2021,10/27/2021,0.5805,3.34,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",39.7,0.149,153,1.02,9.6,0.953,0.387,14,0.953,-79.97901129,39.52989752
LP Mineral,1,Switchgrass,Control,1/27/2022,1/28/2022,0.369,4.28,"sandstone, coal small pebbles, limited roots and leaves",100.4,0.024,236,0.81,-8.3,0.733,0.323,0.6,0.733,-79.97917551,39.53027258
LP Mineral,2,Switchgrass,BioChar + Fertilizer,1/27/2022,1/28/2022,0.3885,4.4,"sandstone, coal small pebbles, limited roots and leaves",100.4,0.024,236,0.81,-8.3,0.733,0.323,0.6,0.733,-79.97969694,39.5304597
LP Mineral,3,Switchgrass,Fertilizer,1/27/2022,1/28/2022,0.3665,4,"sandstone, coal small pebbles, limited roots and leaves",100.4,0.024,236,0.81,-8.3,0.733,0.323,0.6,0.733,-79.97973134,39.53042024
LP Mineral,4,Willow,Control,1/27/2022,1/28/2022,0.372,4.21,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",100.4,0.024,236,0.81,-8.3,0.733,0.323,0.6,0.733,-79.97960462,39.53049675
LP Mineral,5,Willow,BioChar + Fertilizer,1/27/2022,1/28/2022,0.395,4.09,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",100.4,0.024,236,0.81,-8.3,0.733,0.323,0.6,0.733,-79.97970966,39.53047021
LP Mineral,6,Willow,Fertilizer,1/27/2022,1/28/2022,0.418,3.69,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",100.4,0.024,236,0.81,-8.3,0.733,0.323,0.6,0.733,-79.9794033,39.53008788
LP Mineral,19,Switchgrass,Control,1/27/2022,1/28/2022,0.381,4.29,"sandstone, coal small pebbles, limited roots and leaves",100.4,0.024,236,0.81,-8.3,0.733,0.323,0.6,0.733,-79.97870583,39.53004472
LP Mineral,20,Switchgrass,Fertilizer,1/27/2022,1/28/2022,0.399,4.18,"sandstone, coal small pebbles, limited roots and leaves",100.4,0.024,236,0.81,-8.3,0.733,0.323,0.6,0.733,-79.97914177,39.53017845
LP Mineral,21,Switchgrass,BioChar + Fertilizer,1/27/2022,1/28/2022,0.441,4.33,"sandstone, coal small pebbles, limited roots and leaves",100.4,0.024,236,0.81,-8.3,0.733,0.323,0.6,0.733,-79.97974707,39.53037333
LP Mineral,22,Willow,BioChar + Fertilizer,1/27/2022,1/28/2022,0.5375,5.26,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",100.4,0.024,236,0.81,-8.3,0.733,0.323,0.6,0.733,-79.97896258,39.52981186
LP Mineral,23,Willow,Fertilizer,1/27/2022,1/28/2022,0.552,4.44,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",100.4,0.024,236,0.81,-8.3,0.733,0.323,0.6,0.733,-79.97915082,39.52995191
LP Mineral,24,Willow,Control,1/27/2022,1/28/2022,0.441,3.34,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",100.4,0.024,236,0.81,-8.3,0.733,0.323,0.6,0.733,-79.97896278,39.52984815
LP Mineral,1,Switchgrass,Control,4/28/2022,4/29/2022,0.61,4.28,"sandstone, coal small pebbles, limited roots and leaves",264.1,0,172,1.23,4.9,0.638,0.414,12,0.638,-79.97861879,39.53010055
LP Mineral,2,Switchgrass,BioChar + Fertilizer,4/28/2022,4/29/2022,0.576,4.4,"sandstone, coal small pebbles, limited roots and leaves",264.1,0,172,1.23,4.9,0.638,0.414,12,0.638,-79.97939422,39.53040993
LP Mineral,3,Switchgrass,Fertilizer,4/28/2022,4/29/2022,0.685,4,"sandstone, coal small pebbles, limited roots and leaves",264.1,0,172,1.23,4.9,0.638,0.414,12,0.638,-79.97993554,39.53054022
LP Mineral,4,Willow,Control,4/28/2022,4/29/2022,0.506,4.21,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",264.1,0,172,1.23,4.9,0.638,0.414,12,0.638,-79.97919359,39.53000393
LP Mineral,5,Willow,BioChar + Fertilizer,4/28/2022,4/29/2022,0.4765,4.09,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",264.1,0,172,1.23,4.9,0.638,0.414,12,0.638,-79.97938481,39.53019283
LP Mineral,6,Willow,Fertilizer,4/28/2022,4/29/2022,0.725,3.69,"sandstone, heavy clumps small gravel hard to break up",264.1,0,172,1.23,4.9,0.638,0.414,12,0.638,-79.97970171,39.53037842
LP Mineral,19,Switchgrass,Control,4/28/2022,4/29/2022,0.6925,4.29,"sandstone, coal small pebbles, limited roots and leaves",264.1,0,172,1.23,4.9,0.638,0.414,12,0.638,-79.97864626,39.529909
LP Mineral,20,Switchgrass,Fertilizer,4/28/2022,4/29/2022,0.5455,4.18,"sandstone, coal small pebbles, limited roots and leaves",264.1,0,172,1.23,4.9,0.638,0.414,12,0.638,-79.97893737,39.53004064
LP Mineral,21,Switchgrass,BioChar + Fertilizer,4/28/2022,4/29/2022,0.6505,4.33,"sandstone, coal small pebbles, limited roots and leaves",264.1,0,172,1.23,4.9,0.638,0.414,12,0.638,-79.97952218,39.53037295
LP Mineral,22,Willow,BioChar + Fertilizer,4/28/2022,4/29/2022,0.7275,5.26,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",264.1,0,172,1.23,4.9,0.638,0.414,12,0.638,-79.97869586,39.52986208
LP Mineral,23,Willow,Fertilizer,4/28/2022,4/29/2022,0.735,4.44,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",264.1,0,172,1.23,4.9,0.638,0.414,12,0.638,-79.97871297,39.5299293
LP Mineral,24,Willow,Control,4/28/2022,4/29/2022,0.675,3.34,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",264.1,0,172,1.23,4.9,0.638,0.414,12,0.638,-79.97865175,39.52991329
LP Mineral,1,Switchgrass,Control,7/28/2022,7/29/2022,0.4525,5.2,"sandstone, coal small pebbles, limited roots and leaves",158.2,0.15,221,0.76,22.5,97.77,0.401,22.5,0.9777,-79.97902916,39.53023979
LP Mineral,2,Switchgrass,BioChar + Fertilizer,7/28/2022,7/29/2022,0.443,5.1,"sandstone, coal small pebbles, limited roots and leaves",158.2,0.15,221,0.76,22.5,97.77,0.401,22.5,0.9777,-79.97870374,39.52994357
LP Mineral,3,Switchgrass,Fertilizer,7/28/2022,7/29/2022,0.4965,4.59,"sandstone, coal small pebbles, limited roots and leaves",158.2,0.15,221,0.76,22.5,97.77,0.401,22.5,0.9777,-79.97871914,39.53001379
LP Mineral,4,Willow,Control,7/28/2022,7/29/2022,0.465,4.67,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",158.2,0.15,221,0.76,22.5,97.77,0.401,22.5,0.9777,-79.98009457,39.53046991
LP Mineral,5,Willow,BioChar + Fertilizer,7/28/2022,7/29/2022,0.3695,4.19,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",158.2,0.15,221,0.76,22.5,97.77,0.401,22.5,0.9777,-79.97958275,39.53008979
LP Mineral,6,Willow,Fertilizer,7/28/2022,7/29/2022,0.4505,4.4,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",158.2,0.15,221,0.76,22.5,97.77,0.401,22.5,0.9777,-79.97909899,39.5299141
LP Mineral,19,Switchgrass,Control,7/28/2022,7/29/2022,0.5795,5.02,"sandstone, coal small pebbles, limited roots and leaves",158.2,0.15,221,0.76,22.5,97.77,0.401,22.5,0.9777,-79.97892431,39.52988736
LP Mineral,20,Switchgrass,Fertilizer,7/28/2022,7/29/2022,0.4515,5.17,"sandstone, coal small pebbles, limited roots and leaves",158.2,0.15,221,0.76,22.5,97.77,0.401,22.5,0.9777,-79.97934269,39.53034745
LP Mineral,21,Switchgrass,BioChar + Fertilizer,7/28/2022,7/29/2022,0.4615,5.04,"sandstone, coal small pebbles, limited roots and leaves",158.2,0.15,221,0.76,22.5,97.77,0.401,22.5,0.9777,-79.97920238,39.52998457
LP Mineral,22,Willow,BioChar + Fertilizer,7/28/2022,7/29/2022,0.458,5.15,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",158.2,0.15,221,0.76,22.5,97.77,0.401,22.5,0.9777,-79.97920291,39.53027133
LP Mineral,23,Willow,Fertilizer,7/28/2022,7/29/2022,0.491,3.92,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",158.2,0.15,221,0.76,22.5,97.77,0.401,22.5,0.9777,-79.97870662,39.52997693
LP Mineral,24,Willow,Control,7/28/2022,7/29/2022,0.593,4.62,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",158.2,0.15,221,0.76,22.5,97.77,0.401,22.5,0.9777,-79.97892586,39.53006861
LP Mineral,1,Switchgrass,Control,10/27/2022,10/28/2022,0.4295,5.2,"sandstone, coal small pebbles, limited roots and leaves",100.6,0.003,251,1.06,7.2,98.77,0.304,10.1,0.9877,-79.97946041,39.53012213
LP Mineral,2,Switchgrass,BioChar + Fertilizer,10/27/2022,10/28/2022,0.5855,5.1,"sandstone, coal small pebbles, limited roots and leaves",100.6,0.003,251,1.06,7.2,98.77,0.304,10.1,0.9877,-79.97931892,39.5302422
LP Mineral,3,Switchgrass,Fertilizer,10/27/2022,10/28/2022,0.4065,4.59,"sandstone, coal small pebbles, limited roots and leaves",100.6,0.003,251,1.06,7.2,98.77,0.304,10.1,0.9877,-79.97931077,39.53012733
LP Mineral,4,Willow,Control,10/27/2022,10/28/2022,0.305,4.67,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",100.6,0.003,251,1.06,7.2,98.77,0.304,10.1,0.9877,-79.97917244,39.53016552
LP Mineral,5,Willow,BioChar + Fertilizer,10/27/2022,10/28/2022,0.491,4.19,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",100.6,0.003,251,1.06,7.2,98.77,0.304,10.1,0.9877,-79.97863684,39.52999818
LP Mineral,6,Willow,Fertilizer,10/27/2022,10/28/2022,0.481,4.4,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",100.6,0.003,251,1.06,7.2,98.77,0.304,10.1,0.9877,-79.97862253,39.52995722
LP Mineral,19,Switchgrass,Control,10/27/2022,10/28/2022,0.516,5.02,"sandstone, coal small pebbles, limited roots and leaves",100.6,0.003,251,1.06,7.2,98.77,0.304,10.1,0.9877,-79.97954944,39.53043234
LP Mineral,20,Switchgrass,Fertilizer,10/27/2022,10/28/2022,0.5075,5.17,"sandstone, coal small pebbles, limited roots and leaves",100.6,0.003,251,1.06,7.2,98.77,0.304,10.1,0.9877,-79.97915881,39.5301716
LP Mineral,21,Switchgrass,BioChar + Fertilizer,10/27/2022,10/28/2022,0.447,5.04,"sandstone, coal small pebbles, limited roots and leaves",100.6,0.003,251,1.06,7.2,98.77,0.304,10.1,0.9877,-79.97913206,39.52991965
LP Mineral,22,Willow,BioChar + Fertilizer,10/27/2022,10/28/2022,0.6565,5.15,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",100.6,0.003,251,1.06,7.2,98.77,0.304,10.1,0.9877,-79.97945618,39.5302158
LP Mineral,23,Willow,Fertilizer,10/27/2022,10/28/2022,0.427,3.92,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",100.6,0.003,251,1.06,7.2,98.77,0.304,10.1,0.9877,-79.97938555,39.53032742
LP Mineral,24,Willow,Control,10/27/2022,10/28/2022,0.4395,4.62,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",100.6,0.003,251,1.06,7.2,98.77,0.304,10.1,0.9877,-79.97998942,39.5304982
Jackson's Mill,1,Willow,BioChar + Fertilizer,4/13/2021,4/14/2021,0.424,4.58,"very few pebbles, limited roots, and leaves",47.6,0.1,200.8,0.9,10.3,0.9,0.3,12.9,0.9,-80.47539688,39.09175362
Jackson's Mill,2,Willow,Fertilizer,4/13/2021,4/14/2021,0.4665,4.06,"very few pebbles, limited roots, and leaves",47.6,0.1,200.8,0.9,10.3,0.9,0.3,12.9,0.9,-80.47542007,39.09224388
Jackson's Mill,3,Willow,Control,4/13/2021,4/14/2021,0.467,3.41,"very few pebbles, limited roots, and leaves",47.6,0.1,200.8,0.9,10.3,0.9,0.3,12.9,0.9,-80.47501689,39.09200416
Jackson's Mill,4,Switchgrass,Fertilizer,4/13/2021,4/14/2021,0.4345,3.58,"very few clumps, easily broken, many roots and leaves",47.6,0.1,200.8,0.9,10.3,0.9,0.3,12.9,0.9,-80.4747593,39.09141978
Jackson's Mill,5,Switchgrass,BioChar + Fertilizer,4/13/2021,4/14/2021,0.4585,4.71,"very few clumps, easily broken, many roots and leaves",47.6,0.1,200.8,0.9,10.3,0.9,0.3,12.9,0.9,-80.47533004,39.09200467
Jackson's Mill,6,Switchgrass,Control,4/13/2021,4/14/2021,0.485,4.15,"very few clumps, easily broken, many roots and leaves",47.6,0.1,200.8,0.9,10.3,0.9,0.3,12.9,0.9,-80.47547945,39.09220742
Jackson's Mill,19,Willow,Fertilizer,4/13/2021,4/14/2021,0.495,4.16,"very few pebbles, limited roots, and leaves",47.6,0.1,200.8,0.9,10.3,0.9,0.3,12.9,0.9,-80.47547196,39.09188344
Jackson's Mill,20,Willow,Control,4/13/2021,4/14/2021,0.457,3.58,"very few pebbles, limited roots, and leaves",47.6,0.1,200.8,0.9,10.3,0.9,0.3,12.9,0.9,-80.47522744,39.09166286
Jackson's Mill,21,Willow,BioChar + Fertilizer,4/13/2021,4/14/2021,0.452,3.98,"very few pebbles, limited roots, and leaves",47.6,0.1,200.8,0.9,10.3,0.9,0.3,12.9,0.9,-80.47539858,39.09182751
Jackson's Mill,22,Switchgrass,Control,4/13/2021,4/14/2021,0.4405,4.03,"very few clumps, easily broken, many roots and leaves",47.6,0.1,200.8,0.9,10.3,0.9,0.3,12.9,0.9,-80.47535793,39.09189125
Jackson's Mill,23,Switchgrass,Fertilizer,4/13/2021,4/14/2021,0.5095,3.98,"very few clumps, easily broken, many roots and leaves",47.6,0.1,200.8,0.9,10.3,0.9,0.3,12.9,0.9,-80.4746121,39.09141004
Jackson's Mill,24,Switchgrass,BioChar + Fertilizer,4/13/2021,4/14/2021,0.529,4.35,"very few clumps, easily broken, many roots and leaves",47.6,0.1,200.8,0.9,10.3,0.9,0.3,12.9,0.9,-80.47542549,39.09221374
Jackson's Mill,1,Willow,BioChar + Fertilizer,7/27/2021,7/28/2021,0.7395,4.58,"very few pebbles, limited roots, and leaves",268.2,0.0,91.0,0.7,22.2,0.8,0.3,22.5,0.8,-80.47505222,39.09180633
Jackson's Mill,2,Willow,Fertilizer,7/27/2021,7/28/2021,0.648,4.06,"very few pebbles, limited roots, and leaves",268.2,0.0,91.0,0.7,22.2,0.8,0.3,22.5,0.8,-80.47451528,39.09133695
Jackson's Mill,3,Willow,Control,7/27/2021,7/28/2021,0.6635,3.41,"very few pebbles, limited roots, and leaves",268.2,0.0,91.0,0.7,22.2,0.8,0.3,22.5,0.8,-80.47476979,39.0916454
Jackson's Mill,4,Switchgrass,Fertilizer,7/27/2021,7/28/2021,0.944,3.58,"very few clumps, easily broken, many roots and leaves",268.2,0.0,91.0,0.7,22.2,0.8,0.3,22.5,0.8,-80.47465987,39.09176296
Jackson's Mill,5,Switchgrass,BioChar + Fertilizer,7/27/2021,7/28/2021,1.1645,4.71,"very few clumps, easily broken, many roots and leaves",268.2,0.0,91.0,0.7,22.2,0.8,0.3,22.5,0.8,-80.47523978,39.09161282
Jackson's Mill,6,Switchgrass,Control,7/27/2021,7/28/2021,1.0015,4.15,"very few clumps, easily broken, many roots and leaves",268.2,0.0,91.0,0.7,22.2,0.8,0.3,22.5,0.8,-80.47472024,39.0916758
Jackson's Mill,19,Willow,Fertilizer,7/27/2021,7/28/2021,0.5985,4.16,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",268.2,0.0,91.0,0.7,22.2,0.8,0.3,22.5,0.8,-80.47507892,39.09150243
Jackson's Mill,20,Willow,Control,7/27/2021,7/28/2021,0.5875,3.58,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",268.2,0.0,91.0,0.7,22.2,0.8,0.3,22.5,0.8,-80.47472506,39.09155887
Jackson's Mill,21,Willow,BioChar + Fertilizer,7/27/2021,7/28/2021,0.6365,3.98,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",268.2,0.0,91.0,0.7,22.2,0.8,0.3,22.5,0.8,-80.47568907,39.09208731
Jackson's Mill,22,Switchgrass,Control,7/27/2021,7/28/2021,1.6745,4.03,"very few clumps, easily broken, many roots and leaves",268.2,0.0,91.0,0.7,22.2,0.8,0.3,22.5,0.8,-80.4752416,39.09174135
Jackson's Mill,23,Switchgrass,Fertilizer,7/27/2021,7/28/2021,1.1715,3.98,"very few clumps, easily broken, many roots and leaves",268.2,0.0,91.0,0.7,22.2,0.8,0.3,22.5,0.8,-80.4749683,39.09179181
Jackson's Mill,24,Switchgrass,BioChar + Fertilizer,7/27/2021,7/28/2021,0.7935,4.35,"very few clumps, easily broken, many roots and leaves",268.2,0.0,91.0,0.7,22.2,0.8,0.3,22.5,0.8,-80.47466244,39.09124339
Jackson's Mill,1,Willow,BioChar + Fertilizer,10/26/2021,10/27/2021,1.307,4.58,"very few pebbles, limited roots, and leaves",33.8,0.0,206.3,0.7,7.8,0.9,0.3,15.1,0.9,-80.47521684,39.09167484
Jackson's Mill,2,Willow,Fertilizer,10/26/2021,10/27/2021,0.629,4.06,"very few pebbles, limited roots, and leaves",33.8,0.0,206.3,0.7,7.8,0.9,0.3,15.1,0.9,-80.47442,39.09156224
Jackson's Mill,3,Willow,Control,10/26/2021,10/27/2021,0.75,3.41,"very few pebbles, limited roots, and leaves",33.8,0.0,206.3,0.7,7.8,0.9,0.3,15.1,0.9,-80.47517149,39.09213179
Jackson's Mill,4,Switchgrass,Fertilizer,10/26/2021,10/27/2021,0.8995,3.58,"very few clumps, easily broken, many roots and leaves",33.8,0.0,206.3,0.7,7.8,0.9,0.3,15.1,0.9,-80.47460733,39.09170259
Jackson's Mill,5,Switchgrass,BioChar + Fertilizer,10/26/2021,10/27/2021,0.629,4.71,"very few clumps, easily broken, many roots and leaves",33.8,0.0,206.3,0.7,7.8,0.9,0.3,15.1,0.9,-80.47469525,39.09143434
Jackson's Mill,6,Switchgrass,Control,10/26/2021,10/27/2021,0.728,4.15,"very few clumps, easily broken, many roots and leaves",33.8,0.0,206.3,0.7,7.8,0.9,0.3,15.1,0.9,-80.47511164,39.09153534
Jackson's Mill,19,Willow,Fertilizer,10/26/2021,10/27/2021,0.9805,4.16,"very few pebbles, limited roots, and leaves",33.8,0.0,206.3,0.7,7.8,0.9,0.3,15.1,0.9,-80.47435049,39.09143039
Jackson's Mill,20,Willow,Control,10/26/2021,10/27/2021,1.0835,3.58,"very few pebbles, limited roots, and leaves",33.8,0.0,206.3,0.7,7.8,0.9,0.3,15.1,0.9,-80.47528257,39.09188227
Jackson's Mill,21,Willow,BioChar + Fertilizer,10/26/2021,10/27/2021,0.804,3.98,"very few pebbles, limited roots, and leaves",33.8,0.0,206.3,0.7,7.8,0.9,0.3,15.1,0.9,-80.47484804,39.09145698
